question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type
0001-0001-0001,Paris đạt được thành quả gì sau khỏang 4 thế kỷ tính từ ngày Cách mạng Pháp diễn ra?,"trở thành một trong những trung tâm văn hóa của thế giới, thủ đô của nghệ thuật và giải trí",,True,True,0,0.0,1.0,13.121163368225098,-2.9493608474731445,-13.121163368225098,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0004,Cuộc cách mạng Pháp diễn ra ở đâu?,Paris,,True,True,0,0.0,1.0,6.648950099945068,3.488860607147217,-6.648950099945068,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0006,Paris là một thành phố quan trọng của nước Pháp bắt đầu từ thời gian nào?,thế kỷ 10,,True,True,0,0.0,1.0,4.382551193237305,5.75922966003418,-4.382551193237305,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0007,Vị trí địa lý của Paris có gì đặc biệt?,nằm ở điểm gặp nhau của các hành trình thương mại đường bộ và đường sông,,True,True,0,0.0,1.0,11.024749875068665,-0.8699408769607544,-11.024749875068665,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0002,Người ta đến với Paris vì điều gì?,"Sự nhộn nhịp, các công trình kiến trúc và không khí nghệ sĩ",,True,True,0,0.0,1.0,4.86179256439209,5.291274070739746,-4.86179256439209,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0005,Kinh đô ánh sáng nổi tiếng như thế nào trong lĩnh vực thời trang mua sắm?,Thành phố còn được xem như kinh đô của thời trang cao cấp với nhiều khu phố xa xỉ cùng các trung tâm thương mại lớn,,True,True,0,0.0,1.0,5.387814521789551,4.770169258117676,-5.387814521789551,ANSWERABLE_PREDICTED_EMPTY
0001-0003-0001,"Trước thế kỷ 17, tại Paris các nơi công cộng thiếu ánh đèn buổi tuối thường có hiện tượng gì?",nhiều tệ nạn,,True,True,0,0.0,1.0,8.932447671890259,1.2255017757415771,-8.932447671890259,ANSWERABLE_PREDICTED_EMPTY
0001-0004-0001,Làm sao để chuyển tên thành phố thủ đô nước Pháp thành danh từ dùng để chỉ người dân của thành phố này?,thêm hai chữ a và d,,True,True,0,0.0,1.0,4.420793533325195,5.620744705200195,-4.420793533325195,ANSWERABLE_PREDICTED_EMPTY
0001-0005-0001,Nguồn gốc tên gọi Paname bắt nguồn từ đâu?,những chiếc mũ panama,,True,True,0,0.0,1.0,7.663588047027588,2.488675594329834,-7.663588047027588,ANSWERABLE_PREDICTED_EMPTY
0001-0005-0003,"Ngọai trừ cái tên Paname, Paris còn có tên gọi khác là gì?",Pantruche,,True,True,0,0.0,1.0,6.959040880203247,3.1891238689422607,-6.959040880203247,ANSWERABLE_PREDICTED_EMPTY
0001-0007-0001,Cách giới hạn nội ô Paris được thay đổi thế nào sau khỏang 150 năm tính từ ngày bức tường thành Thiers được sử dụng cho việc này?,phân định với ngọai ô bằng các đại lộ vành đai dài 35 km,,True,True,0,0.0,1.0,14.08404016494751,-3.921687602996826,-14.08404016494751,ANSWERABLE_PREDICTED_EMPTY
0001-0007-0003,"Ngày nay, muốn từ nội ô sang ngọai ô Paris, ta thường phải băng qua đâu?",các đại lộ vành đai,,True,True,0,0.0,1.0,5.712206840515137,4.448834419250488,-5.712206840515137,ANSWERABLE_PREDICTED_EMPTY
0001-0008-0002,Đâu được xem là nguyên nhân khởi nguồn cho sự hình thành lưu vực sông Seine?,sự tạo thành của dãy Alps,,True,True,0,0.0,1.0,5.781752109527588,4.387353420257568,-5.781752109527588,ANSWERABLE_PREDICTED_EMPTY
0001-0008-0006,Bồn Paris nằm trên bồn những núi nào từ thời Paleozoic?,"khối núi Vosges, khối núi Massif central, khối núi Armorica",,True,True,0,0.0,1.0,7.216003894805908,2.9092040061950684,-7.216003894805908,ANSWERABLE_PREDICTED_EMPTY
0001-0008-0010,Vì sao các cửa bồn Paris bị khóa lại?,báo trước cho sự hình thành lưu vực sông Loire và sông Seine,,True,True,0,0.0,1.0,5.800651550292969,4.376270294189453,-5.800651550292969,ANSWERABLE_PREDICTED_EMPTY
