question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type,reader_method,retrieval_hit,latency_ms
0006-0009-0004,Cùng với thượng viện thì cần thêm cơ quan nào nữa để tạo ra một đất nước có quốc hội lưỡng viện như Puerto Rico?,hạ viện,ra thượng viện do dân,True,False,0,0.28571428571428575,,-1.283577000000001,11.309454,1.283577,SPAN_TOO_LONG,neural_span,True,25942.518600000767
0003-0046-0006,Việc gì góp phần vào việc đưa con số người biết chữ của người dân Canada lên 99%?,Độ tuổi bắt buộc đến trường có phạm vi từ 5–7 đến 16–18 tuổi,. Độ tuổi bắt buộc đến trường có phạm vi từ 5–7 đến 16–18,True,False,0,0.967741935483871,,-0.2923720000000003,10.346821,0.292372,SPAN_TOO_SHORT,neural_span,True,24917.773499997566
0012-0001-0004,Gandhi sinh năm nào?,1869,Sardar Vallabhbhai Patel,True,False,0,0.0,,-0.6614879999999985,10.678904,0.661488,WRONG_SPAN,phrase_fallback,True,26417.08369999833
0001-0009-0007,Việc lọai bỏ cặn CaCO3 đã từ lâu được di dời từ sông Sen đến đâu?,,về Hy,False,False,0,0.0,,4.676139999999999,5.481359,-4.676141,UNANSWERABLE_FALSE_POSITIVE,neural_span,,24059.19569999969
0015-0040-0001,Nếu được xếp hạng 1 trong bảng xếp hạng môi trường báo chí thì điều đó đồng nghĩa với điều gì đối với các sinh viên?,,là tự do nhất,False,False,0,0.0,,0.9857759999999995,9.151346,-0.985776,UNANSWERABLE_FALSE_POSITIVE,neural_span,,19435.29159999889
0017-0060-0005,Cuộc gặp gỡ giữa Abdulaziz và vua Roosevelt có ý nghĩa như thế nào?,,"Vào ngày 14 tháng 2, ông mở một cuộc họp lịch sử với vua Abdulaziz - vị vua khai quốc của Ả Rập Xê Út.",False,False,0,0.0,,7.217419999999999,2.961218,-7.21742,UNANSWERABLE_FALSE_POSITIVE,sentence_fallback,,8108.3214999962365
0019-0015-0005,Tình hình tại Texas như thế nào trong vòng hai tháng đầu của năm 1836?,Texas lâm vào tình trạng không có sự quản lý tòan bộ,tình trạng không có sự quản lý tòan,True,False,0,0.8,,-1.1104310000000002,11.241064,1.110431,SPAN_TOO_SHORT,neural_span,True,8269.07790000405
0015-0022-0007,Điều kiện để nghị viên có thể làm vô hiệu hóa sự ngăn cản từ Tổng thống Mông Cổ đến quyết định của họ là gì?,biểu quyết thuận với hơn hai phần ba số phiếu,có biểu quyết thuận với hơn hai phần ba số,True,False,0,0.9,,0.5940349999999999,9.518457,-0.594034,PARTIAL_SPAN,neural_span,True,9750.08639999578
0006-0010-0003,Chính quyền Puerto Rico đã thực hiện nhiều cuộc tấn công nhằm vào nhân vật quan trọng nào của Mỹ?,tổng thống Harry Truman,ám sát tổng thống Harry,True,False,0,0.6666666666666665,,-0.7763229999999997,10.893919,0.776323,SPAN_TOO_LONG,neural_span,True,8172.416300003533
0012-0007-0002,Tại sao ông bị vất ra khỏi xe lửa tại Pietermaritzburg?,sau khi từ chối chuyển từ toa xe hạng nhất đến toa hạng ba,khi từ chối chuyển từ toa xe hạng nhất đến toa hạng,True,False,0,0.923076923076923,,3.4044989999999995,6.71138,-3.404499,SPAN_TOO_SHORT,neural_span,True,8963.121999993746
0018-0003-0005,"Sau cuộc đảo chính quân sự thành công, chế độ cai trị của chính quyền mới được nhận xét như thế nào?",chế độ cai trị độc tài và khát máu,"Giáo hòang Xíttô V nhận xét về bà với sự kinh ngạc, ""[Elizabeth] chỉ là một phụ nữ, bà chủ trên một nửa hòn đảo, nhưng đã làm Tây Ban Nha, Pháp, [Thánh chế La Mã], và mọi người khiếp sợ"".",True,False,0,0.08,,8.523622000000001,1.644915,-8.523622,SPAN_TOO_LONG,sentence_fallback,False,8127.449100000376
0017-0040-0004,"Việc bức điện tín ""Good man"" được Roosevelt gửi đến cho Neville Chamberlain khi ông này trở về Luân Đôn, đã gây nên tranh cãi gì về ý nghĩa bức điện tín này?",Phần đông ý kiến cho rằng bức điện tín mang ý nghĩa chúc mừng trong khi nhóm thiểu số thì phản bác lời giải nghĩa đó,. Phần đông ý kiến cho rằng bức điện tín mang ý nghĩa,True,False,0,0.631578947368421,,8.921021,1.219532,-8.921021,SPAN_TOO_SHORT,neural_span,True,8422.057100004167
0006-0001-0002,Hòn đảo có diện tích bé nhất trong bốn đảo Đại Antilles tọa lạc ở vị trí nào so với lãnh thổ nước Dominicana?,phía đông,"Trong nhóm 4 đảo Đại Antilles (bao gồm các đảo Cuba, Hispaniola, Jamaica và Puerto Rico), Puerto Rico là hòn đảo có diện tích nhỏ nhất nhưng lại đứng thứ ba về dân số.",True,False,0,0.0,,2.442238999999999,7.698489,-2.442239,WRONG_SPAN,sentence_fallback,True,8245.200000004843
0015-0030-0002,Điều gì xảy ra trước sự gia tăng về kinh tế và dân số khá trẻ tại Mông Cổ?,,,False,True,1,1.0,,,,,CORRECT_NO_ANSWER,no_answer,,7368.257000001904
0017-0013-0004,Việc bị bại liệt khiến cho Roosevelt đã có những quyết định gì khi ông trở thành Tổng thống Hoa Kỳ?,Roosevelt giúp thành lập Qũy Quốc gia cho Trẻ em bại liệt,đã quyết định tham gia một giải golf chứ không gặp,True,False,0,0.08695652173913043,,1.714500000000001,8.442967,-1.714499,SPAN_TOO_SHORT,neural_span,True,8826.266700001725
0017-0015-0003,Roosevelt đã hàn gắn rào cản cách biệt với Đảng Dân chủ như thế nào?,"giúp Alfred E. Smith đắc cử thống đốc tiểu bang New York năm 1922, và thậm chí ông còn là một người ủng hộ tích cực cho Smith chống lại người cháu họ của mình là đảng viên Cộng hòa Theodore Roosevelt, Jr. năm 1924","Roosevelt duy trì liên lạc và hàn gắn rào cản cách biệt với Đảng Dân chủ trong suốt thập niên 1920, đặc biệt là tại New York.",True,False,0,0.16666666666666669,,7.673857,2.485576,-7.673858,SPAN_TOO_SHORT,sentence_fallback,True,9236.67579999892
0009-0009-0002,Mitterand đánh giá như thế nào về Masson?,Masson không có quyền tuyên bố thay mặt các tù binh chiến tranh,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,True,9738.351399995736
0015-0014-0003,Kết quả dành cho những người lãnh đạo Mông Cổ không chịu thi hành khủng bố Nga theo lệnh người Mông Cổ là gì?,,đều bị người Nga,False,False,0,0.0,,1.1167949999999998,9.015987,-1.116795,UNANSWERABLE_FALSE_POSITIVE,neural_span,,7722.949700000754
0005-0007-0001,Hồng Công là thuộc địa của đế quốc nào ở thế kỷ 20?,Anh,thế kỷ 18,True,False,0,0.0,,1.9709710000000005,8.196352,-1.970971,WRONG_SPAN,phrase_fallback,True,7458.650400003535
0004-0023-0003,"Để đổi lại sự không can thiệp của Israel vào cuộc chiến, Mỹ đã có thỏa thuận gì với nước này?",tăng cường viện trợ,với,True,False,0,0.0,,5.100543,5.029408,-5.100544,WRONG_SPAN,neural_span,False,8177.872600004775
0006-0016-0001,Điểm nào ở các nước Puerto Rico khác hấp dẫn các nhà đầu tư nước ngòai hơn Mỹ Latinh?,,tới,False,False,0,0.0,,3.5004149999999994,6.660042,-3.500415,UNANSWERABLE_FALSE_POSITIVE,neural_span,,7584.2241999998805
0012-0013-0004,Những việc hủ nát theo Gandhi là những gì?,"phân biệt tiện dân, bắt phụ nữ mang khăn che và áp chế họ","như phân biệt tiện dân, bắt phụ nữ mang khăn",True,False,0,0.75,,1.1533449999999998,9.004007,-1.153345,SPAN_TOO_SHORT,neural_span,True,8028.28889999364
0017-0059-0002,Ai là người Roosevelt lựa chọn để thay thế cho Wallace?,Harry S. Truman,Harry S,True,False,0,0.8,,-1.0535879999999995,11.054084,1.053588,SPAN_TOO_SHORT,phrase_fallback,True,9432.085300002655
0018-0002-0005,"Năm 1962, sự kiện nào gì đáng chú ý nhất diễn ra tại Uganda?",Uganda giành được độc lập từ Anh,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,True,9666.73389999778
0003-0006-0001,"Để ngăn chặn sự phản kháng của Mười ba thuộc địa, Tân Pháp đã làm gì?",,,False,True,1,1.0,,,,,CORRECT_NO_ANSWER,no_answer,,28460.800500004552
0015-0040-0003,Nếu được xếp hạng 1 trong bảng xếp hạng môi trường báo chí thì điều đó đồng nghĩa với điều gì đối với ngành báo chí?,tự do nhất,là tự do nhất,True,False,0,0.8571428571428571,,-0.011661000000000143,10.134119,0.011662,SPAN_TOO_LONG,neural_span,True,24541.934399996535
0007-0012-0003,Tổng thống Saakashvili đệ trình lên yêu sách hòa bình vào năm nào?,2005,. Ngày 25 tháng 1 năm,True,False,0,0.0,,0.15011299999999927,9.940454,-0.150113,WRONG_SPAN,neural_span,True,8340.258500000346
0015-0032-0007,Các ngôn ngữ nào được sử dụng tại phía tây Nga?,,,False,True,1,1.0,,,,,CORRECT_NO_ANSWER,no_answer,,7202.586900006281
0012-0024-0006,Bose phê bình Gandhi vì việc gì?,,"việc ông thăng tiến, nhậm chức",False,False,0,0.0,,1.0282,9.043816,-1.0282,UNANSWERABLE_FALSE_POSITIVE,neural_span,,7714.600700004667
0009-0031-0004,Quốc gia nào có nỗ lực cao nhất về viện trợ phát triển?,Pháp,cạnh Anh,True,False,0,0.0,,-0.5646149999999999,10.680818,0.564614,WRONG_SPAN,neural_span,True,6744.88299999939
0004-0043-0004,Quốc gia nào đã tham gia cùng với Mỹ trong cuộc xâm chiếm Iraq năm 2003?,Anh,Ả Rập Xê,True,False,0,0.0,,-1.8613689999999998,11.44455,1.861368,WRONG_SPAN,neural_span,True,6332.38960000017
0002-0005-0001,Tất cả những đạo luật được Nouvelle-Calédonie thông qua trong năm 1876-1988 đều tạo nên điều gì?,bất mãn và hỗn lọan nghiêm trọng,nên bất mãn và hỗn lọan,True,False,0,0.7692307692307692,,-1.1598260000000007,11.17758,1.159826,SPAN_TOO_SHORT,neural_span,True,5877.602099993965
0006-0005-0009,Những người bản địa Puerto Rico gọi lãnh thổ của họ là gì?,Borikén,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,True,5076.838200002385
