question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type,reader_method,retrieval_hit,latency_ms
0009-0029-0005,Mitterrand muốn duy trì quyền lực của Paris tại lục địa nào?,châu Phi,tại châu,True,False,0,0.5,,0.14622899999999994,9.87079,-0.146229,PARTIAL_SPAN,neural_span,True,31308.412500002305
0009-0001-0009,Bà ngọai được miêu tả như thế nào?,một phụ nữ qúy tộc,miêu tả các hành tinh của các sao đôi hay sao,True,False,0,0.0,,5.991123000000001,4.180267,-5.991122,WRONG_SPAN,neural_span,False,9733.571799995843
0011-0008-0008,Sự tranh luận về thần học Trung cổ song hành với thần học Ki-tô giáo được gọi là gì?,,"""Kalam",False,False,0,0.0,,2.3739929999999996,7.401464,-2.373994,UNANSWERABLE_FALSE_POSITIVE,neural_span,,24344.536100004916
0013-0003-0003,Chính sách của nhà thờ nước Anh được ông William Laud áp dụng cho những nơi nào?,tòan thể nước Anh và Scotland,vào tòan thể nước Anh và Scotland,True,False,0,0.923076923076923,,2.421366999999999,7.734535,-2.421367,SPAN_TOO_LONG,neural_span,True,24072.571900003823
0002-0021-0006,Houp được tạo ra nhằm kỷ niệm sự kiện gì?,,"kỷ niệm việc Pháp sáp nhập Nouvelle-Calédonie, nó được khánh thành vào năm",False,False,0,0.0,,5.493777000000001,4.677281,-5.493776,UNANSWERABLE_FALSE_POSITIVE,neural_span,,17959.087099996395
0004-0042-0001,"Theo số liệu của UNICEF, số lượng người Iraq thiệt mạng mỗi năm tăng thêm bao nhiêu vì lệnh trừng phạt kinh tế?",90.000,thêm 90.000,True,False,0,0.8,,-1.445450000000001,11.204895,1.44545,SPAN_TOO_LONG,neural_span,True,9218.17960000044
0015-0007-0003,Lãnh thổ của Đế quốc Mông Cổ kéo dài như thế nào?,"từ Ukraina hiện nay đến bán đảo Triều Tiên, và từ Siberia đến vịnh Oman và Việt Nam hiện nay",thế kỷ VI đến IV TCN,True,False,0,0.07692307692307691,,6.94647,3.225604,-6.946471,SPAN_TOO_SHORT,phrase_fallback,False,8385.087200003909
0007-0010-0002,Javier Solana đã bác bỏ điều gì?,bác bỏ khả năng thay thế binh lính gìn giữ hòa bình Nga bằng lực lượng của Liên minh châu Âu,bác bỏ khả năng thay thế binh lính gìn giữ hòa bình,True,False,0,0.7272727272727273,,0.45346300000000106,9.695087,-0.453463,SPAN_TOO_SHORT,neural_span,True,8079.5343999998295
0017-0025-0006,Cơ quan Quản trị Tiến trình Xây dựng Công chánh được thành lập với mục đích gì?,thiết lập ban cứu nguy quốc gia để thuê mướn 2 triệu gia trưởng trên tòan quốc,"Khi nền kinh tế bắt đầu tồi tệ trở lại vào cuối năm 1937, Roosevelt đưa ra một chương trình kích cầu cấp tiến, xin Quốc hội chi 5 tỷ đô la cho công chánh và giải cứu Cơ quan Quản trị Tiến trình Xây dựng Công chánh (WPA).",True,False,0,0.06060606060606061,,5.26287,4.896921,-5.26287,SPAN_TOO_LONG,sentence_fallback,True,7637.704700005997
0015-0020-0004,"Hiện nay, Mông Cổ là nước như thế nào?","một nước cộng hòa dân chủ đại nghị bán tổng thống, theo đó tổng thống được bầu cử trực tiếp",hiện nay là một nước cộng hòa dân chủ đại nghị bán,True,False,0,0.5625000000000001,,1.5508369999999996,8.508709,-1.550837,SPAN_TOO_SHORT,neural_span,True,8253.507699999318
